,Rank,Racer,Text_Bests,Races,Texts,Career,Best_10,Best_Race,Points,Wins,Win_%,Marathon,Last_Race,Variation
83,84.0,o________o,154.33,2692,2010,152.93,194.03,211.78,372011.95,2314,85.96,310,2020-11-17,8.3
84,85.0,modest_ked,154.12,31400,5015,136.35,282.84,297.71,2452610.04,17223,54.85,402,2020-04-12,15.72
85,86.0,wordracer888,153.94,301859,5032,125.15,199.11,203.41,22200757.99,184557,61.14,777,2021-09-15,14.65
86,87.0,wjsprowler,153.89,8811,1647,147.48,189.93,194.44,211103.1,7766,88.14,200,2021-02-03,8.73
87,88.0,Hreyfill Hreyfill Hreyfill ..,153.64,42025,4719,140.32,188.16,193.13,5464953.58,31227,74.31,582,2021-07-28,9.41
88,89.0,lithox2,153.39,37793,4697,139.38,208.33,229.61,4642205.28,26343,69.7,608,2021-09-10,12.21
89,90.0,mispelled,152.88,2973,1029,162.05,263.78,282.24,250744.06,1260,42.38,51,2021-09-05,19.76
90,91.0,jash..,152.86,8264,3869,147.9,203.02,210.64,1135195.49,5945,71.94,637,2020-11-18,11.13
91,92.0,usaintraining,152.79,1803,1459,151.55,188.39,195.51,259227.86,1479,82.03,227,2021-01-08,9.02
92,93.0,hujala,152.15,46276,4410,140.32,224.52,236.97,2742883.63,29865,64.54,324,2021-09-18,15.04
93,94.0,e6f4e37l,152.08,14761,3907,147.61,193.53,197.82,1965259.5,11290,76.49,335,2021-09-22,8.61
94,95.0,soupy,152.02,12764,3629,146.2,211.0,217.89,1195757.39,9408,73.71,238,2020-06-18,10.4
95,96.0,leo8786,151.57,5014,2151,150.24,181.92,192.12,591993.74,4095,81.67,128,2021-09-07,5.87
96,97.0,e..,151.38,5681,2107,146.23,214.85,230.02,380993.92,4013,70.64,448,2021-09-16,10.91
97,98.0,rainnonquit,151.26,13970,4838,141.03,208.85,221.49,1590794.06,9375,67.11,224,2021-09-22,13.89
98,99.0,plorksauce,151.26,3564,2206,148.6,206.43,216.17,448545.18,2840,79.69,140,2021-08-22,12.02
99,100.0,han2000,150.93,4754,2812,146.59,207.1,214.45,556793.81,3354,70.55,202,2020-08-28,13.33
100,101.0,dou_,150.64,3538,1919,147.04,180.63,184.02,450438.55,2895,81.83,157,2021-09-15,8.24
101,102.0,ucsd_kid slacking on work-A..,150.59,1727,1310,149.76,189.83,206.63,211197.87,1446,83.73,74,2021-09-16,10.16
102,103.0,thefatninja69,150.44,3656,2286,145.83,190.23,191.37,356189.88,2820,77.13,116,2021-09-03,12.94
103,104.0,just_sayori,150.19,5490,1662,139.47,198.17,204.98,665337.89,4154,75.66,160,2021-03-28,10.8
104,105.0,m..,150.14,37600,4567,137.54,194.52,197.54,3400551.81,27069,71.99,265,2021-03-29,10.98
105,106.0,dowon,150.02,34566,4036,133.76,202.36,215.57,2794017.34,22754,65.83,183,2021-09-01,15.32
106,107.0,vinninq,150.0,39000,4616,135.41,215.17,222.49,3471237.99,26756,68.61,498,2018-10-20,15.91
107,108.0,tanoh,149.87,2041,1291,147.01,197.48,211.17,132816.16,613,30.03,118,2020-05-22,13.18
108,109.0,ghall,149.76,40993,3799,135.13,197.14,204.17,1322904.22,27446,66.95,367,2021-09-18,11.23
109,110.0,siglemic,149.47,52000,4466,125.01,230.86,255.08,3507513.27,27512,52.91,1818,2021-02-04,18.38
110,111.0,uchihalol,149.46,29190,4519,128.33,217.29,232.12,3311273.2,13387,45.86,577,2021-07-24,14.27
111,112.0,crdm0,149.23,17000,4555,139.69,202.21,210.18,1771937.31,11337,66.69,538,2020-04-18,12.18
112,113.0,monesles,149.06,3823,2353,147.39,181.07,183.96,511232.85,3108,81.3,171,2021-09-19,8.45
113,114.0,staticnine,148.98,2146,1712,148.1,182.47,188.89,304160.42,1594,74.28,313,2020-07-26,8.61
114,115.0,johnnew,148.92,1831,1487,147.86,182.88,186.2,198133.61,1468,80.17,159,2020-07-20,9.37
115,116.0,"Collapsing Star, Roaring Ca..",148.89,5143,2084,143.42,188.66,194.15,179381.1,4143,80.56,249,2021-07-29,11.34
116,117.0,jyin,148.89,5000,1498,141.19,241.27,271.41,256671.41,4647,92.94,2500,2020-10-30,15.65
117,118.0,c0decub,148.75,2305,1585,146.64,189.75,197.08,272433.63,1795,77.87,154,2020-01-19,10.67
118,119.0,lhykv,148.58,11816,4280,141.78,193.31,198.63,1607902.63,10141,85.82,199,2021-09-19,10.05
119,120.0,daniel598,148.4,10236,3748,140.01,221.49,225.89,846747.03,7762,75.83,117,2021-09-20,12.51
120,121.0,playscrabble,148.22,70200,5022,129.24,203.43,210.13,3762726.99,47009,66.96,450,2021-06-05,11.41
121,122.0,vdud3,148.2,46519,4149,132.43,191.51,196.23,4460048.16,29613,63.66,340,2021-08-11,10.66
122,123.0,notapplicable,148.0,9858,2876,142.57,197.02,217.44,643392.01,7536,76.45,200,2021-08-22,9.16
123,124.0,mononym_jisoo,147.85,78859,5812,128.3,301.42,350.09,3668320.33,72293,91.67,3337,2021-09-08,20.97
124,125.0,moffitt,147.77,9697,2749,143.8,184.66,199.2,1152911.44,7504,77.38,267,2021-09-07,7.63
125,126.0,smtchahal2,147.76,8962,2247,136.84,203.69,214.35,444235.48,6831,76.22,454,2021-09-22,11.9
126,127.0,himajintyper,147.7,22489,4424,133.66,187.27,188.92,2799161.33,14831,65.95,516,2020-10-17,11.57
127,128.0,onetruegodniccage,147.47,2605,1098,140.31,180.0,182.55,54946.89,2112,81.07,148,2020-06-16,10.52
128,129.0,sigel,147.31,5722,2723,144.37,203.86,218.91,718612.62,4336,75.78,299,2021-09-04,10.44
129,130.0,jestercapo..,147.31,126795,4874,130.74,189.98,193.73,14829148.96,78962,62.28,880,2021-09-23,11.29
130,131.0,vincehardy2,147.3,1798,1240,146.29,202.77,224.05,199123.54,1434,79.76,164,2019-02-04,8.95
131,132.0,potus_donaldtrump,147.27,4571,2081,147.53,209.01,217.45,511989.1,3079,67.36,649,2021-07-28,11.44
132,133.0,valikor,147.17,30258,2624,135.35,246.64,249.88,318210.75,25658,84.8,1179,2021-09-19,10.94
133,134.0, (ayeyuhskuh,147.08,14324,4217,129.77,220.01,228.86,1681935.49,7785,54.35,443,2020-08-16,17.24
134,135.0,dogfoodlid,146.99,1677,1395,146.19,182.78,190.59,238694.6,1316,78.47,412,2020-06-05,9.05
135,136.0,abhib22,146.93,2756,1886,145.64,186.07,191.05,358873.09,2246,81.49,176,2021-08-19,11.88
136,137.0,paradoxp..,146.91,14219,4553,139.72,221.97,240.31,1677149.4,9867,69.39,247,2021-09-23,9.58
137,138.0,vinning,146.76,10000,3742,141.68,203.54,212.85,1039633.28,6843,68.43,218,2019-04-24,12.7
138,139.0,mokori,146.62,52700,2028,123.73,189.78,200.21,110021.97,34646,65.74,1320,2019-12-31,15.52
139,140.0,chawahir,146.48,11161,3385,141.11,208.61,218.18,1323020.38,6057,54.27,369,2021-07-27,10.76
140,141.0,andreaak,146.47,1641,1311,145.78,186.98,194.83,191964.43,1329,80.99,200,2020-01-30,9.57
141,142.0,kareemhunt,146.38,8212,3339,140.99,190.46,202.2,1036579.72,6411,78.07,395,2020-06-28,10.95
142,143.0,spondulix,146.34,2394,1606,144.08,203.55,220.15,263920.56,1484,61.99,93,2021-04-04,12.14
143,144.0,andrewhan,146.25,3483,1740,140.82,189.32,192.24,160713.43,2719,78.06,60,2020-10-18,11.26
144,145.0,novabond,146.1,40476,1881,127.86,238.77,246.4,136880.9,29198,72.14,265,2021-09-10,14.16
145,146.0,melikepi,146.05,5927,3041,139.49,199.02,208.98,738851.44,3963,66.86,304,2021-09-13,14.09
146,147.0,zapakh,145.85,10345,1381,136.95,181.75,192.11,149926.92,8069,78.0,558,2020-10-26,10.02
147,148.0,g1_petroleum,145.73,15368,4369,143.11,265.16,278.98,1615933.83,11366,73.96,417,2021-05-21,16.07
148,149.0,actuallynonquitforlife,145.55,9963,3610,137.48,242.35,254.64,1159146.02,6821,68.46,536,2021-01-04,18.28
149,150.0,gaborone,145.49,2532,1739,143.73,182.59,190.04,333205.38,1961,77.45,187,2018-06-21,8.93
150,151.0,melot,145.27,10391,2661,138.1,185.71,195.75,425187.02,7954,76.55,136,2021-09-14,9.94
151,152.0,drlawc2,145.21,4739,1655,135.39,206.85,219.36,364601.47,3391,71.56,128,2021-09-23,24.62
152,153.0,shadowyshadows,145.19,6234,3175,135.55,196.93,220.34,723968.07,3527,56.58,199,2021-09-07,13.43
153,154.0,jordan2380,144.99,1746,1305,143.49,203.77,224.76,219773.55,267,15.29,177,2021-09-14,13.65
154,155.0,u_r_n00b,144.95,2518,1627,143.3,176.64,181.6,310807.94,2012,79.9,208,2021-09-19,7.51
155,156.0,hospi..,144.91,6826,3507,142.67,323.78,333.33,566155.64,3890,56.99,1009,2021-07-11,18.09
156,157.0,zyrrac2,144.69,5694,2532,138.05,195.07,199.9,205191.75,3788,66.53,478,2021-08-23,14.85
157,158.0,kingstealth,144.59,1866,1313,146.42,218.06,233.05,195639.58,928,49.73,72,2021-09-12,15.85
158,159.0,रोहित सिं�..,144.17,16050,4156,139.77,185.77,192.53,1896689.05,12343,76.9,242,2021-09-06,10.15
159,160.0,justt..,144.08,3957,1399,133.72,190.12,214.11,138475.12,2976,75.21,110,2021-09-21,13.52
160,161.0,indoviet,144.02,5378,1773,136.23,174.61,176.22,228506.6,4145,77.07,123,2021-02-24,11.66
161,162.0,ॐ ღ kelly ღ ॐ ♥ ..,144.0,3144,1172,145.56,219.11,231.24,331160.04,1874,59.61,103,2019-09-18,11.37
162,163.0,keatonsmith,143.99,10954,3134,128.22,190.97,200.2,579994.99,7046,64.32,176,2021-09-16,15.78
163,164.0,amun,143.89,88188,5190,123.41,188.12,196.78,4268251.9,55202,62.6,364,2021-09-09,13.67
164,165.0,jeff1104,143.86,10054,2370,137.39,181.82,188.98,1063692.32,7782,77.4,464,2021-08-12,10.36
165,166.0,elpelaodank,143.83,1631,1135,142.49,192.76,205.8,187601.01,1211,74.25,73,2021-09-20,14.92
166,167.0,cliffcatastrophe,143.41,2227,1038,137.73,184.25,195.64,15103.13,1934,86.84,141,2021-08-03,12.69
167,168.0,carlibou,143.38,6434,3158,138.73,200.9,212.24,793026.21,4690,72.89,154,2021-09-19,18.14
168,169.0,poem,143.37,135000,6728,123.15,196.03,209.71,15121911.68,74362,55.08,812,2021-09-21,14.33
169,170.0,dizzi445,143.27,1715,1007,141.43,195.47,200.93,65848.72,1280,74.64,151,2021-04-20,13.1
170,171.0,leonzalion,143.24,7367,3239,138.08,202.08,206.83,883913.34,4908,66.62,163,2021-09-22,13.04
171,172.0,deskripper,143.2,31041,4815,129.86,193.18,200.96,3721248.9,19826,63.87,542,2021-09-23,14.31
172,173.0,stev_cubed,143.14,2080,1671,141.85,184.43,193.98,275058.44,1604,77.12,193,2021-09-18,10.04
173,174.0,s3rez,142.9,5460,2323,138.81,186.31,195.42,600195.0,3911,71.63,51,2021-09-17,10.16
174,175.0,howdoigetfaster,142.9,5957,1756,136.75,179.36,184.67,164140.34,4501,75.56,144,2020-03-20,8.59
175,176.0,jeehoonoh,142.89,19242,2437,131.78,179.06,198.71,588330.12,13374,69.5,242,2021-09-14,9.93
176,177.0,ʝ̶Ӽ̶ʋ̶ǟ̶ռ̶Ӽ̶ʋ�..,142.84,2727,1317,140.54,178.03,183.0,285989.99,1863,68.32,117,2021-09-23,8.01
177,178.0,tjddb123456,142.8,3275,1513,140.29,175.21,180.74,360216.92,2243,68.49,98,2021-09-07,6.35
178,179.0,adamallerto..,142.75,1831,1182,141.73,174.47,179.0,192869.39,1193,65.16,59,2021-09-13,8.5
179,180.0,gianthetaco,142.69,3564,2275,140.26,187.01,189.77,441350.45,2518,70.65,137,2021-08-21,13.53
180,181.0,defined,142.2,10030,1729,136.59,248.18,259.2,476605.19,7215,71.93,128,2021-09-04,16.39
181,182.0,styrofoam,142.16,45743,6791,123.9,222.39,235.37,4947142.83,23539,51.46,713,2021-06-13,13.14
182,183.0,primalknight,142.1,9291,4084,134.43,229.92,235.45,899057.18,5993,64.5,1418,2021-08-24,14.62
183,184.0,elusoryx,142.04,8475,2933,135.9,183.02,204.32,451718.42,6704,79.1,620,2020-12-08,9.83
184,185.0,h0tmama,142.01,2400,1372,139.04,181.41,193.11,267287.39,1603,66.79,20,2021-09-15,8.52
185,186.0,randumbtyper,141.99,3849,2562,138.9,183.32,195.33,498356.88,2718,70.62,219,2021-09-12,11.54
186,187.0,etay5621,141.99,9174,1019,127.47,190.94,203.8,297.74,6216,67.76,202,2018-01-01,13.45
187,188.0,90wpmomg,141.87,4295,2204,136.76,239.73,268.08,363176.92,2809,65.4,80,2021-09-18,17.47
188,189.0,dariacore dariacore dariaco..,141.83,14045,3491,131.12,181.23,193.03,806183.13,9430,67.14,321,2021-09-22,11.3
189,190.0,dr_gammaray,141.72,18679,3871,128.24,181.37,201.49,1312564.13,12687,67.92,312,2021-09-19,12.81
190,191.0,fafadoodle,141.58,16916,3348,128.81,202.76,210.6,1710318.22,10194,60.26,263,2021-09-21,11.86
191,192.0,it hurts to type,141.5,4257,2696,137.53,186.82,192.54,389878.7,3138,73.71,191,2021-07-01,12.97
192,193.0,geometricv,141.31,8011,3443,136.48,215.52,246.72,900752.81,4672,58.32,155,2021-03-14,11.06
193,194.0,noomo,141.22,10000,3108,132.73,182.93,186.68,898395.97,6760,67.6,306,2018-11-19,10.5
194,195.0,Jimy sucks at choosing pass..,141.22,7282,3338,136.73,193.84,228.45,797717.04,5323,73.1,167,2021-09-07,9.83
195,196.0,lauren,141.04,2069,1112,139.13,168.17,171.21,102674.96,1654,79.94,227,2021-01-14,8.11
196,197.0,sir_rebral_palsy,140.94,7228,2384,137.87,186.7,195.47,682225.07,5416,74.93,127,2021-09-09,9.07
197,198.0,framed..,140.93,27901,3950,129.09,184.13,189.16,3062876.43,17846,63.96,216,2020-04-15,12.84
198,199.0,⚡️ ML ⚡ go to wandb.m..,140.68,2608,1712,135.35,181.31,187.39,240075.06,1838,70.48,148,2021-09-19,13.01
199,200.0,typingaccount10,140.61,7037,3259,138.46,181.44,185.68,897009.23,4828,68.61,300,2021-09-06,6.79
200,201.0,Roadsweeper Dropping D; dan..,140.45,39135,5043,126.62,188.35,196.02,4556107.63,23625,60.37,373,2021-09-23,12.99
201,202.0,jumban,140.43,8069,1197,120.37,174.91,182.25,103570.4,5974,74.04,103,2021-08-13,15.57
202,203.0,seckdaddy,140.41,1507,1243,138.59,180.1,187.67,188242.67,1110,73.66,252,2019-11-29,11.2
203,204.0,emrenegades,140.41,5048,2671,136.72,178.94,183.24,577497.72,3508,69.49,122,2021-07-10,11.33
204,205.0,winterpro,140.34,2409,1742,138.98,180.97,187.46,292601.15,1682,69.82,123,2021-05-24,12.03
205,206.0,hyper_racer,140.32,46164,6449,112.59,246.07,255.32,4551619.54,21092,45.69,358,2021-08-16,25.15
206,207.0,vinniwooh,140.13,13243,2691,134.77,294.8,305.69,777583.29,9051,68.35,581,2018-12-17,18.71
207,208.0,symfonia,140.07,1503,1013,136.26,175.86,180.28,98220.02,1152,76.65,136,2021-08-11,11.31
208,209.0,ptes77,139.99,8402,2970,129.59,177.19,183.62,717234.2,5502,65.48,203,2021-09-20,14.74
209,210.0,twitch.tv/typeracerderochee..,139.88,27370,3895,127.72,178.96,187.99,1093172.89,15791,57.69,425,2021-08-23,10.15
210,211.0,charlieog,139.84,170085,7350,120.83,237.35,241.56,8899161.02,146559,86.17,2950,2021-09-23,17.65
211,212.0,330am,139.82,1807,1460,138.56,181.15,184.58,235434.17,1197,66.24,167,2020-10-31,10.96
212,213.0,thedragonemperor,139.82,10444,3845,135.55,188.34,194.4,1243697.84,7112,68.1,204,2021-09-23,12.52
213,214.0,newkeyboardlove,139.77,11963,3736,134.42,243.69,255.2,1065242.51,7405,61.9,745,2020-05-10,18.82
214,215.0,havocprodigy,139.77,12000,2927,133.11,177.57,190.48,426028.05,8767,73.06,340,2020-02-29,10.32
215,216.0,mitch7656,139.77,13240,1561,126.87,193.76,211.34,49709.16,9375,70.81,243,2020-10-11,11.86
216,217.0,traben,139.76,5879,3390,135.26,192.36,199.25,660786.27,2151,36.59,200,2021-09-22,14.01
217,218.0,7031,139.69,6332,1307,126.22,179.99,187.15,2826.14,4444,70.18,180,2020-11-03,14.04
218,219.0,cspenguino,139.61,7514,2797,134.44,176.19,180.8,568093.11,5323,70.84,140,2021-09-18,12.14
219,220.0,pauliegohome,139.6,3223,1903,135.23,188.48,197.24,286082.61,2244,69.62,437,2019-04-21,12.45
220,221.0,rubberdome,139.5,6223,3155,135.65,182.56,192.51,743115.18,3963,63.68,361,2021-07-23,9.55
221,222.0,keatonasmith,139.22,7669,3342,133.12,190.99,201.96,812372.75,5167,67.38,175,2020-01-29,11.48
222,223.0,sifo,139.21,1685,1013,136.62,178.26,187.28,93225.34,1288,76.44,111,2020-05-26,11.24
223,224.0,grigoras92,139.2,13080,2781,132.97,189.84,192.91,1240529.24,8632,65.99,323,2021-07-22,11.88
224,225.0,nameless337,139.14,33358,3392,129.19,164.74,168.38,1074506.36,23581,70.69,323,2021-09-21,9.19
225,226.0,´︶`,139.13,6364,1691,126.33,169.87,173.86,184027.16,4383,68.87,199,2021-06-21,11.83
226,227.0,dragoomba,139.12,3945,1976,134.98,193.56,206.22,209216.89,2724,69.05,299,2021-09-03,11.7
227,228.0,swaax,139.11,66639,5434,122.14,198.05,207.09,3824314.39,40151,60.25,997,2021-09-18,13.33
228,229.0,qwerty91994,139.04,3317,2160,133.15,209.69,233.91,398969.69,2211,66.66,209,2021-07-29,14.79
