UserID,UUID,Bluetooth_appearance,Bluetooth_class,Bluetooth_mAddress,Bluetooth_mRemoteBrsf,Bluetooth_mValueNREC,Bluetooth_mValueWBS,Bluetooth_name,Bluetooth_rssi,Bluetooth_timestamp
1461793105533,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-102,2016-04-28 00:38:25.529
1461793165621,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-101,2016-04-28 00:39:25.616
1461793225711,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-103,2016-04-28 00:40:25.688
1461793279457,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-100,2016-04-28 00:41:19.453
1461793339441,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-101,2016-04-28 00:42:19.435
1461793459491,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-100,2016-04-28 00:44:19.487
1461799593960,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-88,2016-04-28 02:26:33.956
1461799653698,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-96,2016-04-28 02:27:33.694
1461799773773,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-97,2016-04-28 02:29:33.768
1461804582134,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-87,2016-04-28 03:49:42.13
1461806541753,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-85,2016-04-28 04:22:21.733
1461806604931,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-83,2016-04-28 04:23:24.927
1461806664910,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-83,2016-04-28 04:24:24.906
1461806725064,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-86,2016-04-28 04:25:25.06
1461806785011,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-83,2016-04-28 04:26:25.0
1461806845263,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-84,2016-04-28 04:27:25.256
1461806905121,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-81,2016-04-28 04:28:25.112
1461806965287,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-84,2016-04-28 04:29:25.28
1461807025267,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-97,2016-04-28 04:30:25.263
1461807085399,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-91,2016-04-28 04:31:25.395
1461815645629,97bb95f55a,0,5898764,0x1C8431F7FFF6E8C47A8D836CAC64A9E4,NULL,NULL,NULL,0x76E0A38C4D9D4C34F4D21E914BF06128,-95,2016-04-28 06:54:05.623
1461826048226,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-87,2016-04-28 09:47:28.217
1461826588846,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-80,2016-04-28 09:56:28.839
1461826648854,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-86,2016-04-28 09:57:28.852
1461826708922,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-79,2016-04-28 09:58:28.919
1461826889034,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-83,2016-04-28 10:01:29.028
1461826949219,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-94,2016-04-28 10:02:29.216
1461827129347,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-86,2016-04-28 10:05:29.34
1461827189445,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-85,2016-04-28 10:06:29.442
1461827312490,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-82,2016-04-28 10:08:32.484
1461827372306,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-85,2016-04-28 10:09:32.303
1461827432372,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-83,2016-04-28 10:10:32.367
1461827492611,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-88,2016-04-28 10:11:32.592
1461827552578,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-80,2016-04-28 10:12:32.574
1461827672743,97bb95f55a,0,5898764,0xE2591A4C3997E31D4BBA5C097862EAA3,NULL,NULL,NULL,0x13791B190947B0A48F1B9A73B1F9E2E0,-96,2016-04-28 10:14:32.73
