Company/Brand,Founded,Headquarters,Sector,What it does,Founder/s,Investor/s,Amount(in dollars),Stage,Month
Yodacart,2019,Thane,E-commerce,YODACART is an e-commerce startup offering real-time product discovery using AI/ML for appliances based on consumers’ needs with an AR-enabled browsing experience.,Vikas Sharma,Ajith Daneil,225000,Pre-seed,12
TheHouseMonk,2019,Bangalore,Real Estate,A complete property management software platform for team&customers.,"Ajay Kumar, Balaji Varadharajan",Aurum Proptech,5000000,,12
Zepto,2021,Bangalore,E-commerce,"Ability to consistently deliver 2,500+ products in 10 minutes flat.","Aadit Palicha, Kaivalya Vohra",Y-Combinator,100000000,,12
Sirona Hygiene,2015,New Delhi,"Health, Wellness & Fitness","An award-winning brand, committed to solving those Intimate & Menstrual Hygiene issues for women",Deep Bajaj,The Good Glamm Group,10000000,,12
Jumbotail,2015,Bangalore,B2B Ecommerce,"Jumbotail is India's leading B2B marketplace and New Retail platform, serving thousands of mom & pop stores","S Karthik Venkateswaran, Ashish Jhina",Invus,85000000,Series C,12
Captain Fresh,2019,Bangalore,Logistics & Supply Chain,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,Utham Gowda,"Tiger Global, Prosus Ventures",40000000,Series B,12
Deciwood,2018,New Delhi,Consumer Electronics,"Deciwood makes Eco-friendly wooden speakers using latest technology of Energy tube to enhance sound quality, all products are handmade by skilled people of the industry.",Ananya Meena,"Shuru Up, Ankit Kedia, Arun Gupta",200000,,12
Kohbee,2019,Bangalore,E-learning,"Kohbee is a mobile app for online trainers and educators to run their online business, end to end.","Rohan Sinha, Shashwat Aditya","Ankit Mehrotra, Saurabh Aggarwal",235000,Pre-seed,12
Perfora,2021,Gurugram,Consumer Goods,"Building a disruptive, modern, and functional oral care brand for consumers in India and globally.","Tushar Khurana, Jatan Bawa",Sauce.vc,260000,Pre-seed,12
Unbox Robotics,2019,Pune,Logistics & Supply Chain,Unbox Robotics is building software-defined robotics platforms to enable logistics players to automate and radically improve their operations on-demand in a limited footprint and capital.,"Pramod Ghadge, Shahid Memon, Rohit Pitale","3one4 Capital, Sixth Sense Ventures",7000000,Series A,12
Ninety One,2015,Ahmedabad,Consumer Goods,"Ninety One makes cycles, which the company claims are affordable and different from the ones available in the market.","Sachin Chopra, Vishal Chopra",A91 Partners,30000000,Series A,12
Gobillion,2020,New Delhi,Social commerce,Redefining social commerce for Tier 2+ cities in India - making e-commerce SOCIAL!,"Roshan Farhan, Kulapradip Bharali","YCombinator, Justin Mateen, Pioneer Fund",2900000,Seed,12
RIPPLR,2019,Bangalore,Logistics & Supply Chain,India’s first Plug-n-Play distribution ecosystem for brands,"Abhishek Nehru, Santosh Dabke","Sojitz Corporation, Stride Ventures",12000000,Pre-series B,12
SK Finance,1994,Jaipur,Financial Services,SK Finance is a leading player in vehicle financing and small business loans lending space with AUM over 4000cr.,Rajendra Setia,"IIFL Wealth, TPG Growth, Norwest Venture Partners",53000000,Series F,12
Eggoz,2017,Gurugram,Food & Beverages,Make a meaningful impact to improve the protein consumption of people by enriching the lives of the rural egg farmers.,"Abhishek Negi, Uttam Kumar, Aditya Singh, Pankaj Pandey","Nabventures, Avaana Capital",3500000,Series A,12
Fabriclore,2016,Jaipur,Apparel & Fashion,"India's top brand of artisanal & contemporary fabrics, offering the largest catalog of both curated & original designs.","Vijay Sharma, Anupam Arya, Sandeep Sharma","Fluid Ventures, Mulberry Silks",700000,Pre-series A,12
Veefin,2010,Mumbai,Information Technology & Services,"Veefin is the world leader in contextual SCF and digital lending solution adopting user-led design, data and analytics, built by bankers for bankers.","Gautam Udani, Raja Debnath",Rajesh Rajendran,3000000,,12
Verandah,2011,Mumbai,Apparel & Fashion,Verandah is a conscious luxury travel brand retailing amongst the luxury resort wear space with design roots.,Anjali Patel Mehta,"Mike Novogratz, Neeraj Arora",1000000,Seed,12
Zepto,2021,Mumbai,E-commerce,Grocery delivery startup,"Aadit Palicha, Kaivalya Vohra","Glade Brook Capital, Nexus, Y Combinator",60000000,,11
Fi,2019,Bangalore,Financial Services,Fi is a neo bank.,Sumit Gwalani,"Capital Group, Falcon Edge",50000000,Series B,11
Kiko Live,2020,Gurugram,Commerce,Video-based social commerce startup,"Alok Chawla, Shivam","Dinesh Agarwal, Amarjit Batra",1000000,Pre-series A,11
TurboHire,2019,Hyderabad,Computer Software,"Industry-leading augmented intelligence software for Talent Intelligence, Recruitment Automation, and Applicant Tracking",Deepak Agrawal,"Arcilla, Samir Khosla",Undisclosed,,11
The Hosteller,2015,Mumbai,Hospitality,"Pit-stop for global as well as local travellers to relax, rejuvenate and experience India’s rich heritage while not worrying about a clean, safe and smart place to stay.",Pranav Dangi,"SUNiCON Ventures, Shubhkam Ventures, Jito Angel network, FAAD Network",1000000,Pre-series A,11
SatSure,2017,Bangalore,Defense & Space,SatSure is an innovative decision analytics company,"Prateep Basu, Rashmit Singh Sukhmani, Abhishek Raju",Baring PE India,Undisclosed,,11
Ruptok Fintech,2020,New Delhi,Financial Services,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,Manuvel Malabar Jewellers,2000000,Pre-series A,11
VilCart,2017,Bangalore,Retail,Vilcart's motto is sustainable rural development through stability for rural retailers.,Prasanna Kumar,Nabventures,2000000,,11
Dogsee Chew,2015,Bangalore,Food & Beverages,100% Natural Dog Treats.,"Bhupendra Khanal, Sneh Sharma",Sixth Sense Ventures,7000000,Pre-series A,11
Advantage Club,2014,Gurugram,HR Tech,Advantage Club is India's largest employee engagement platform.,Sourabh Deorah,"Y Combinator, Jetty Ventures, Earlsfield Capital, SMC Advisors, Kunal Shah",3300000,Pre-series A,11
TRDR,2020,Bangalore,Financial Services,TRDR is an all-new approach to investing.,Ricky Jacob,"Kunal Shah, Snehal Fulzele",150000,,11
Zoomcar,2012,Bangalore,Mobility,Zoomcar holds the distinction of being India’s first personal mobility platform,Greg Moran,SternAegis Ventures,92000000,,11
Leap India,2013,Mumbai,Logistics & Supply Chain,"""Leading Enterprise in Asset Pooling"" India's Largest Sustainable Supply Chain Solutions Company.",Anurag Malempati,CDC Group,10000000,,11
SuperBottoms,2015,Mumbai,Consumer Goods,SuperBottoms was born out of a personal passion for cloth diapering that would give the convenience of diapers while not harming the environment and baby’s skin.,Pallavi Utagi,Alteria Capital,400000,,11
Cora Health,2020,Bangalore,"Health, Wellness & Fitness",Social commerce marketplace for everyday health and wellness.,"Snigdha Kumar, Shrijit Venkatesh",Indian Angel Network,600000,Seed,11
Battery Smart,2019,New Delhi,Renewables & Environment,Battery Smart is building India’s largest network of battery swapping stations providing Li-ion batteries,"Pulkit Khurana, Siddharth Sikka","Blume Ventures, Orios Ventures",7000000,Pre-series A,11
The Good Glamm Group,2021,Pune,Information Technology & Services,South Asia’s largest Content-to-Commerce scale-up investing 100 million in fast-growing beauty & personal care brands.,"Darpan Sanghvi, Priyanka Gill, Naiyya saggi","Warburg Pincus﻿, Prosus Ventures",150000000,Series D,11
Mosaic Wellness,2019,Mumbai,"Health, Wellness & Fitness",A platform of digital first health clinics for men and women,Dhyanesh Shah,Sequoia,24000000,Series A,11
CloudFiles,2020,Bangalore,SaaS startup,"Supercharge files with enterprise-grade security, page-by-page analytics and powerful content automations.","Vishesh Singhal, Ankit Gupta, Siddharth Garg",Titan Capital,300000,Pre-seed,11
The Viral Fever,2012,Mumbai,Entertainment,India's leading digital entertainment network.,Arunabh Kumar,BlackSoil,2000000,,11
Xpand,2021,New Delhi,Retail,LMCE handholds brands and enables their reach across the UNSERVED & UNDER-SERVED pockets of the country in a SUSTAINABLE manner to drive MEASURABLE growth.,Sanjay Kaul,"Akash Prakash, Madhu Jayakumar, Dipinder Sandhu, Shagun Khandelwal",1500000,Pre-series A,11
Troo Good,2018,Hyderabad,E-commerce,An FMCG company selling nutritious products at an affordable price points.,Raju Bhupati,OAKS Asset Management,7000000,Series A,11
Prodo,2021,New Delhi,Business Supplies & Equipment,"Prodo is an e-commerce platform that provides manufacturing of made-to-order, readymade and white labeled consumables for medium and large enterprises.","Sameen Husain, Abhiroop Srivastava","Titan Capital, LetsVenture",300000,Pre-seed,11
Unnati,2019,Noida,FinTech,Fintech powered digital agri ecosystem,"Amit Sinha, Ashok Prasad","Incofin, NabVentures, Orios",7000000,Series A,11
Lysto,2021,Bangalore,NFT,"Lysto is building APIs, Tools & Infrastructure to enable the creation & distribution of NFTs across platforms with a few clicks or few lines of code.",Sadiq Ahamed,BEENEXT,3000000,Seed,11
Wakefit,2014,Bangalore,Furniture,"A home solutions and sleep company, currently collaborating with the world's biggest sleep influencer.","Ankit Garg, Chaitanya Ramalingegowda",SIG,20000000,Series C,11
Buyofuel,2020,Coimbatore,Oil & Energy,Green Fuels Marketplace,"Kishan Karunakaran, Venkateswaran Selvan, Sumanth Kumar",Inflection Point Ventures,100000,Seed,11
ElectricPe,2021,Bangalore,EV,India's largest Electric Vehicle Charging Platform,"Avinash Sharma, Raghav Rohila","Blume Ventures, Micelio Fund",3000000,Seed,11
Vayana Network,2017,Pune,Financial Services,"Vayana Network is an electronic network that connects Corporates and their Supply Chain to Financial Institutions for easy, quick and low-cost access to Trade Financing of their Payables and Receivables.",Ramaswamy Iyer,"CDC Group, Jungle Ventures, March Capital, Marshall Wace",30000000,Series C,11
