Company/Brand,Founded,Headquarters,Sector,What it does,Founder/s,Investor/s,Amount(in dollars),Stage,Month
88academics,2018,New Delhi,Education,88academics an 88tuition Pte Ltd has been established with the social objective of making quality video-based learning material available to all students.,Anil Ahuja,Aarin Capital,3000000,Pre-series A,9
Upgame,2017,Gurugram,sports,Upgame is the leading data intelligence and practice tracking platform for golfers,Sameer Sawhney,"James Milner, Adam Lallana",Undisclosed,,9
Sanfe,2018,New Delhi,"Health, Wellness & Fitness",India’s revolutionary feminine hygiene and period care brand that strives to build a better world for women.,"Archit Aggarwal, Harry Sehrawat","LetsVenture, Ajay Garg, Tarun Sharma",1000000,Series A,9
PredictiVu,2020,Gurugram,Management Consulting,"PredictiVu's AI-enabled dashboard integrated with India's largest, proprietary, weekly consumer purchase data, market intelligence and web insights",,Kunal Sarkar,1500000,Pre-seed,9
Sterling Accuris Wellness,2016,Ahmedabad,Hospital & Health Care,"STERLING ACCURIS WELLNESS PRIVATE LIMITED is a hospital & health care company based out of 3-FLOOR HERITAGE COMPLEX, NR.",Girish Patel,Morgan Stanley Private Equity Asia,30000000,,9
Bijnis,2015,New Delhi,B2B startup,Bijnis is revolutionizing the way manufacturers operate and scale their factories by digitizing their Demand/Supply/Captial/Operations.,"Siddharth, Chaitanya Rathi, Siddharth Rastogi, Shubham Agarwal",Westbridge Capital,30000000,Series B,9
Capital Float,2013,Bangalore,Financial Services,India's leading BNPL and digital credit platform serving millions of aspirational individuals.,"Sashank Rishyasringa, Gaurav Hinduja",Lightrock India,50000000,,9
Manch Technologies,2017,Bangalore,Information Technology & Services,"A Single Click Work Flow E-Sign solution to conduct speedy, accurate, efficient transactions through a “cash-less, presence-less, paperless” framework.",Suresh Anantpurkar,Bharat Inclusion,1000000,Pre-series A,9
Sochcast,2020,Online Media #REF!,Sochcast is an Audio experiences company that give the listener and creators an Immersive Audio experience,"CA Harvinderjit Singh Bhatia, Garima Surana, Anil Srivatsa","Vinners, Raj Nayak, Amritaanshu Agrawal",Undisclosed,,,9
Glamyo Health,2019,New Delhi,Hospital & Health Care,Glamyo Health is an advanced healthcare co delivering a seamless experience for elective surgeries.,"Archit Garg, Dr Preet Pal Thakur",Ananta Capital,3000000,Series A,9
CashBook,2020,Gurugram,FinTech,"CashBook is a digital record-keeping app using which businesses can add entries, segregate records, and find overall balance instantly.","Vivek, Ashutosh Pathak","JAM, Better Tomorrow Ventures",2300000,Seed,9
The Money Club,2016,Noida,Financial Services,The Money Club is a mobile platform for peer to peer chit funds.,"Manuraj Jain, Surajit Ra","SOSV, Venture Catalysts",1700000,Pre-series A,9
SuperZop,2016,Mumbai,Retail,SuperZop is India's first and only vernacular B2B Grocery e-commerce platform that is transforming the unorganized retail sector.,"Raghuveer Allada, Prithwi Singh, Darshan Krishnamurthy",Incofin’s India Progress Fund,4000000,Series A,9
Zypp Electric,2017,Gurugram,Logistics & Supply Chain,"Zypp is working to convert all deliveries for e-commerce, grocery, medicine and food vertical to go electric with e-scooter sharing app.","Akash Gupta, Rashi Agarwal","9Unicorns, Anthill Ventures",7000000,Series A,9
Alpha Coach,2021,Mumbai,Professional Training & Coaching,One to One Personal Fitness Coaching,Ketan Mavinkurve,Jani Ventures INC,1200000,,9
VRO Hospitality,2018,Bangalore,Hospitality,One of the fastest-growing hospitality companies based out of Bangalore.,"Safdhar Adoor, Sharath Rice, Dawn Thomas",CreedCap Asia Advisors,3000000,Series A,9
byteXL,2019,Hyderabad,E-learning,"ByteXL is the first-ever, one-stop-shop for self-learning course work and guided training – preparing a new generation of coders for the workforce.","Sricharan Tadepalli, Karun Tadepalli",Joseph Joy,200000,,9
Leena AI,2015,Gurugram,Computer Software,AI to help enterprises transform the employee experience.,"Mayank Goyal, Anand Prajapati",Bessemer Venture Partners,30000000,Series B,9
CARS24,2015,Gurugram,Automotive,"CARS24 is proud to be a tech-first organisation, looking to make inroads into the global auto-tech market in groundbreaking ways.","Mehul Agrawal, Vikram Chopra","DST Global, Falcon Edge, SoftBank Vision Fund 2",450000000,Series F,9
Klub,2019,Bangalore,Financial Services,"A team of fintech, investment banking, venture capital, and technology veterans who bring a founder-first mindset.","Anurakt Jain, Ishita Verma",Trifecta Capital,2000000,Debt,9
Bluepad,2020,Bangalore,Online Media,A one-stop solution for aggregated content in vernacular languages,"Sanjyot Bhosale, Devakrishna Asokar, Kishore Garimella","Titan Capital, AngelList's syndicate",200000,Pre-seed,9
FloBiz,2019,Bangalore,Information Technology & Services,Neobank for Growing SMBs. Simplify GST Billing & Accounting needs with myBillBook App.,"Rahul Raj, Aditya Naik, Rakesh Yadav",Sequoia Capital India,31000000,Series B,9
Tummoc,2016,Bangalore,Mobility,Tummoc helps track and find actionable & accurate bus/metro/suburban rail intracity travel information.,"Hiranmay Mallick, Monalisha Thakur, Narayan Mishra","Vineet Singh, Krishna D, Deependra Bisht, Alan Aim",540000,Seed,9
Design Cafe,2015,Bangalore,Design,Design Cafe is on a mission to democratize good design for homes in India.,"Shezan Bhojani, Gita Ramanan","Westbridge Capital, Sixth Sense Ventures",25000000,,9
PayCardo,2021,Pune,Financial Services,A true Contactless & Cashless and secure payment system reducing cash dependency,"Vivek Kumar Choubey, Vivek Kumar",MaGEHold,Undisclosed,Pre-seed,9
Aerchain,2019,Bangalore,Computer Software,Advance Source-to-Pay cycle to a new level with Artificial Intelligence!,"Harsha Kadimisetty, Himavanth Jasti","Season Two Ventures, IndiaMart",3000000,Pre-series A,9
Expertrons,2019,Mumbai,E-learning,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,"Jatin Solanki, Vivek Gupta","Kunal Shah, Anant Maheshwari",Undisclosed,,9
CuriousJr,2020,Gurugram,E-learning,CuriousJr is a platform to answer kids' curiosity and prepare them for 21st-century skills.,"Amit Shekhar, Janishar Ali, Mridul Ranjan Sahu","WaterBridge Ventures, Enzia Ventures",1000000,Seed,9
Wow! Momo,2008,Kolkata,Food & Beverages,WOW! Momo is one of the fastest-growing food brands in India.,"Binod Homagai, Sagar Daryani, Shah Miftaur Rahman",Tree Line Investment Management,15000000,Series C,9
Supertails,2021,Bangalore,Consumer Services,Supertails is building a digital pet care platform which offers expert led healthcare services and products.,"Vineet Khanna, Varun Sadana, Aman Tekriwal",Alteria Capital,700000,,9
LifeCell,2004,Chennai,Biotechnology,A building block of the team that preserves the building blocks of life,S. Abhaya Kumar,Orbimed Asia Partners,30000000,,9
ZestMoney,2015,Bangalore,Financial Services,"ZestMoney helps make it accessible for millions to upgrade, to enhance, to rise, while keeping it affordable.","Priya Sharma, Lizzie Chapman",Zip Co,50000000,Series C,9
FrontRow,2020,Bangalore,E-learning,"FrontRow enables everyone to pursue their passions - get better, learn from the best and get noticed!","Shubhadit Sharma, Mikhil Raj, Ishaan Preet Singh","Eight Roads Ventures, GSV",14000000,Series A,9
HappyCredit,2020,Bangalore,FinTech,"HappyCredit is on a mission to make online shopping delightful for 400mn bharat shoppers with credit, rewards, shopping inspiration and more.","Jitendra Kumar, Ashish Virmani","Kunal Shah, Krishna Kumar",600000,Pre-seed,9
Endimension,2018,Mumbai,Healtcare,Endimension Technology is a healthcare Artificial Intelligence startup incubated at IIT Bombay.,"Bharadwaj Kss, Apparao MLV, Kurien Zacharia",Inflection Point Ventures,300000,Seed,9
Frenzi,2020,Mumbai,Online Media,India’s Fastest Growing Streaming Social Network,"Balkrishna Singh, Harvinderjit Singh Bhatia",SucSEED Indovation Fund,Undisclosed,Seed,9
Leverage Edu,2017,New Delhi,Higher Education,India's Most Trusted Study Abroad Platform,Akshay Chaturvedi,"Vijay Shekhar Sharma, Rohit Kapoor, Amanpreet Bajaj, Lalit Singh",Undisclosed,,9
BeepKart,2020,Bangalore,Automotive,BeepKart is building a platform to digitize and organize the used two-wheeler market.,"Hemir Doshi, Abhishek Saraf","Stellaris Venture Partners, Chiratae Ventures",3000000,Seed,9
Lio,2020,Pune,Computer Software,"Lio is the one app for all data where you can create, keep records and track all the records",Anupam Vijayvergia,"Lightspeed, Sequioa",5000000,Seed,9
TravClan,2018,New Delhi,B2B Travel,A mission to solve a genuine problem faced by millions of travel entrepreneurs across the world.,"Arun Bagaria, Ashish Thapliyal",TheVentures,2200000,Pre-series A,9
WickedGud,2021,Mumbai,Food & Beverages,A mission to make every day eating guilt-free and change the way the world consumes comfort foods.,Bhuman Dani,"Titan Capital, Archana Priyadarshini, Gaurav Ahuja",340000,Pre-seed,9
Enercomp,2013,Ahmedabad,Information Technology & Services,Enercomp Solutions Pvt Ltd provide drone based economically viable solutions for different sectors to improve efficiency and accuracy.,SURESH SHAHDADPURI,ah! Ventures,200000,,9
BetterPlace,2014,Bangalore,Information Technology & Services,"BetterPlace is India’s largest technology platform delivering digital solutions for blue-collar workforce management, throughout the entire value chain.",Pravin Agarwala,"Jungle Ventures, CX Partners",24000000,Series C,9
Medpho,2021,Noida,Hospital & Health Care,Medpho is a healthcare service provider in India that connects doctors and patients at the click of a call.,Shashank Saini,"Cygnus Medicare Group, Probal Ghoshal, Shuchin Bajaj",1000000,,9
LivQuik Technology,2012,Mumbai,Financial Services,LivQuik’s vision is to enable the efficient movement of money.,Mohit Lalvani,M2P Fintech,4000000,,9
EventBeep,2019,Pune,EdTech,An inclusive community where students are inspired and empowered to reach their full potential,"Saurabh Mangrulkar, Rakhi Pal, Venkatesh Prasad","SucSEED Indovation Fund, Uincept, Palimala Ventures",,,9
GTM Buddy,2020,Hyderabad,Computer Software,Just-in-time Sales Enablement Platform,"Sreedhar Peddineni, Santa Thounaojam, Sundar Vellaichamy, Chandramani Tiwary",Stellaris Venture Partners,2000000,Seed,9
Gobbly,2019,Gurugram,Retail,A 24x7 automated retail store filled with daily essentials.,"Ankur Agarwal, Amit Ahuja","Anicut Angel Fund, Sauce.VC",900000,Pre-series A,9
HexaHealth,2019,Mumbai,Healthtech,H2D is the most trusted online platform that connects the finest experts with people aspiring to achieve their Health Goals in a holistic way,"Vikas Chauhan, Ankur Gigras, Dr Aman Priya Khanna","Omidyar Network India, Chiratae Ventures",4500000,Seed,9
Eupheus Learning,2017,New Delhi,E-learning,Offer pedagogically differentiated technology driven solutions that lead to critical thinking and achievement of higher learning outcomes,"Sarvesh Shrivastava, Ved Prakash Khatri, Amit Kapoor",Lightrock India,10000000,Series C,9
Easiloan,2020,Mumbai,FinTech,"A Fintech startup, offering fast & easy digital processing of Home Loans in a completely reimagined and delightful way.","Pramod Kathuria, Vishal Dawda",Tomorrow Capital,1000000,,9
Anar,2019,Mumbai,Information Technology & Services,Anar Business Community App is a platform where businesses can create their free profile and grow their business network all over India.,"Nishank Jain, Sanjay Bhat","Elevation Capital, Accel India",6200000,Seed,9
Shadez,2019,Mumbai,Consumer Services,"Smart painting process, latest automatic tools and professional painters make the process faster than any other conventional process of painting .","Adarsh Anand, Amit Tiwari",Inflection Point Ventures,200000,Pre-series A,9
Vahan,2016,Bangalore,Information Technology & Services,"Help companies such as Zomato, Swiggy, Flipkart, Uber, Shadowfax etc. hire blue-collar workers and are on track to become India's largest recruitment platform.",Madhav Krishna,Khosla Ventures,8000000,Series A,9
MPL,2018,Bangalore,Sports,"Mobile Premier League (MPL), is India’s largest eSports and mobile gaming platform, with over 50+ games on its app on iOS and Android, and over 60 million users in India.","Sai Srinivas Kiran GV, Shubh Malhotra",Legatum Capital,,Series E,9
Tinkerly,2015,Jaipur,EdTech,"A STEM learning online-offline solutions provider that makes STEM learning & Coding fun and interesting with superior pedagogy, blended learning, and play-based curriculum.","O.P. Godara, Vivek Pathak, Kapil Arya, Sharad Bansal",Navneet Education,800000,,9
Godamwale,2016,Mumbai,Logistics & Supply Chain,Godamwale is tech enabled integrated logistics company providing end to end supply chain solutions.,"Basant Kumar, Vivek Tiwari, Ranbir Nandan",1000000 #REF!,Seed,,9
Artium Academy,2021,Mumbai,Music,Artium Academy is an Online Music Education platform that makes learning fun and accessible to people of all ages.,"Ashish Joshi, Nithya Sudhir","Sonu Nigam, Whiteboard Capital",750000,Seed,9
Awon GameZ,2020,Noida,Gaming,"An online platform on which developers can host their games and gamers can come together as a community to enjoy experiences, compete, challenge and win!",Amardeep Bajpai,Aditya Duggar,2000000,Seed,9
Ayu Health,2019,Bangalore,"Health, Wellness & Fitness",Ayu Health is a network of high quality hospitals focused on providing high quality healthcare for all.,"Himesh Joshi, Arijit Gupta, Karan Gupta","Vertex Ventures, Stellaris Venture Partners",6300000,Series A,9
Apna,2019,Bangalore,Recruitment,India's largest professional networking & job opportunities platform for the rising workforce.,Nirmit Parikh,Tiger Global,100000000,Series C,9
BharatAgri,2017,Bangalore,AgriTech,Provide personalized farm solution to the farmers. Only app to provide actionable insights based on weather changes.,"Sai Gole, Siddharth Dialani","Omnivore, India Quotient",6500000,Series A,9
Flatheads,2018,Bangalore,Apparel & Fashion,Flatheads are an enthusiastic team of young professionals building a retail brand in the casual footwear space.,"Utkarsh Biradar, Ganesh Balakrishnan","We Founder Circle, Dexter Angels",1000000,Pre-series A,9
Boutique Spirit Brands,2016,New Delhi,Wine & Spirits,Boutique Spirit Brands is a leading Brand creation & manufacturing company of Branded alcoholic beverages in India.,Rahul Gagerna,"IIFL﻿, ﻿Anicut Angel Fund﻿, ﻿Kae Capital﻿, TradeCred",10000000,,9
eShipz,2019,Bangalore,SaaS startup,Digital Shipping Platform for Creating best Pre & Post Shipping Experiences to Brands and Enterprise Customers. and help grow their business by 5X with automation & cloud technology.,"Shashi S Tripathi, Shivadeep Mahadi, Ajaykumar R","Indian Angel Network, Axilor",700000,,9
Pine Labs,1998,Noida,Information Technology & Services,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,Amrish Rau,Invesco Developing Markets Fund,100000000,,9
Paytail,2020,New Delhi,Financial Services,Paytail is revolutionizing the offline commerce by enabling instant paperless EMI's to consumers,"AMIT CHATURVEDI, Vikas Garg",Cholamandalam,1500000,Seed,9
4Fin,2021,Pune,Financial Services,4Fin is a Fintech Platform catering to needs of Smart Bharat.,"Amit Tewary, Ajit Sinha",Curesense Therapeutics,1100000,Pre-seed,9
Atomberg Technologies,2012,Mumbai,Consumer Electronics,A maker of energy-efficient smart fans,"Manoj Meena, Sibabrata Das",Ka Enterprises,Undisclosed,,9
Genext Students,2013,Mumbai,EdTech,"LIVE online classes with expert tutors for K-12 for CBSE, ICSE and State Boards.","Ali Asgar Kagzi, Piyush Dhanuka",Navneet Education,Undisclosed,,9
immunitoAI,2020,Bangalore,Biotechnology,Perform Antibody Discovery using Artificial Intelligence.,"Aridni Shah, Trisha Chatterjee",pi Ventures,1000000,Seed,9
GameEon Studios,2013,Mumbai,Computer Games,"GameEon is based in the sleepless city of Mumbai, India and deals mainly in game development.",Nikhil Malankar,Mumbai Angels Network,320000,,9
Farmers Fresh Zone,2015,Kochi,AgriTech,D2C Health and Wellness Brand for Fresh and Safe Fruits and Vegetables from farmers through traceable Supply Chain,Pradeep PS,"IAN Fund, Malabar Angel Network, Native Angel Network",800000,Pre-series A,9
Anveshan,2019,Bangalore,Food Production,Revolutionizing the food industry through technology by providing high-quality traceable food products,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa","DSG Consumer Partners, Titan Capital",500000,Seed,9
OckyPocky,2015,Gurugram,EdTech,OckyPocky is India's 1st interactive English learning app for preschool kids.,Amit Agrawal,"Sujeet Kumar, SucSEED Indovation Fund",Undisclosed,Seed,9
Coutloot,2016,Mumbai,Consumer Services,"Empowering local markets to sell online socially, our mission is to bring 25M sellers online by 2023","Mahima Kaul, Jasmeet Thind","Ameba Capital, 9Unicorns",8000000,Pre-series,9
Nova Benefits,2020,Bangalore,"Health, Wellness & Fitness",Nova Benefits is the one stop tech platform for providing the best health and wellness benefits to employees.,"Saransh Garg, Yash Gupta","Susquehanna International Group, Bessemer Venture Partners",10000000,Series A,9
HomeLane,2014,Bangalore,Interior Design,"Tech-empowered teams have delivered over 20,000 homes across 16 cities over the last 7 years.",Srikanth Iyer,"IIFL AMC, Oman India Joint Investment Fund",50000000,Series E,9
Lido Learning,2019,Mumbai,E-learning,LIDO is an ed-tech company revolutionizing formal classroom education through a unique and immersive online classroom for every child in India.,Sahil Sheth,Unilazer Ventures,10000000,,9
Jar,2021,Bangalore,FinTech,A daily gold-savings app that saves spare change & auto-invests.,"Nishchay AG, Misbah Ashraf","Tribe Capital, Arkam Ventures, WEH, Kunal Shah",4500000,Pre-series A,9
Peppermint,2019,Pune,Industrial Automation,Intelligent Housekeeping Robots for public and working spaces,"Runal Dahiwade, Miraj C Vora","Venture Catalysts, Indian Angel Network",600000,,9
moneyHOP,2018,London,Financial Services,moneyHOP is India’s first cross-border neo bank.,Mayank Goyal,,1200000,Seed,9
Codingal,2020,Bangalore,EdTech,Codingal is on a mission to inspire school kids to fall in love with coding. Backed by Y Combinator!,"Vivek Prakash, Satyam Baranwal",,1200000,Seed,9
Skit,2016,Bangalore,AI startup,Enabling enterprises to automate their contact centre operations using Voice AI.,"Sourabh Gupta, Akshay Deshraj",WestBridge Capital,23000000,Series B,9
Peak,2014,Information Technology & Services,"Manchester, Greater Manchester",Peak helps the world's smartest companies put the power of AI at the center of all commercial decision making with Decision Intelligence,Atul Sharma,SoftBank Vision Fund 2,75000000,Series C,9
REVOS,2017,Bangalore,Automotive,REVOS is a smart mobility platform that empowers all 2 and 3 wheeler vehicles through AI-integrated IoT solutions,"Mohit Yadav, Jyotrian Jan Harichandran",,4000000,Series A,9
Dezerv.,2021,Mumbai,Investment Management,"Integrated Portfolios designed by experts with decades of investing, Unique access to pre-IPO and startup investing","Sandeep Jethwani, Vaibhav Porwal, Sahil Contractor","Elevation Capital, Matrix Partners India",7000000,Seed,9
AppsForBharat,2020,Bangalore,Product studio,"A mission to assist a billion Indians in their spiritual journey, through a range of products & services",Prashant Sachan,Elevation Capital,10000000,Series A,9
Habbit,2020,Bangalore,EdTech,Habbit is online learning community for anyone looking to get mentored in a skill or hobby of their choice.,"Somnath Sandeep, Raghav Goyal",Ashok Goyal,320000,Pre-seed,9
Bikayi,2019,Hyderabad,E-commerce,Empowering SMBs in India,"Sonakshi Nathani, Ashutosh Singla",Sequoia Capital India,10000000,Series A,9
Sugar.fit,2021,Bangalore,Health,"Innovative technology, compassionate diabetes experts and personalised plans, which will help lead a normal life once more.","Shivtosh Kumar, Madan Somasundaram","Cure.fit, Endiya Partners, Tanglin Venture",10000000,,9
Dukaan,2020,Bangalore,Retail,"Help forward thinking entrepreneurs by providing them the platform to start, grow, and manage their business online.","Suumit Shah, Subhash Choudhary","HOF Capital, Old Well Ventures, LetsVenture, 9Unicorns",11000000,Series A,9
Vidyakul,2017,Gurugram,EdTech,Vidyakul is a group of academic experts.,"Tarun Saini, Gaurav Singhvi",We Founder Circle,500000,Bridge,9
Goodmylk,2015,Bangalore,Food & Beverages,Make plant-based food affordable and accessible in India.,Abhay Rangan,"Jinisha Sharma, Aditya Agarwal, Victoria, Abhishek Shroff",1000000,Seed,9
Fieldproxy,2016,Chennai,SaaS startup,Fieldproxy is a no-code platform that helps field servicing companies digitize their processes to better manage their on-ground technicians,"Swaroop Vijayakumar, Balakrishna B","LetsVenture, 2am VC, magic.fund",200000,Seed,9
NeuroPixel.AI,2020,Bangalore,Deeptech,NeuroPixel.AI Labs is a deep tech start-up that works in application of advanced AI/ML and statistical learning theory in Computer Vision and Image Processing area for online retail storefronts.,,"Arvind Venugopal Nair, Amritendu Mukherjee",800000,Seed,9
Elixia Tech Solutions,2011,Mumbai,Information Technology & Services,End to End Logistics Automation Expert,Sanket Sheth,Rajasthan Venture Capital Fund,1000000,Pre-series A,9
bitsCrunch,2020,Chennai,Blockchain,A consulting firm focused mainly on Data Analytics and DevOps.,Saravanan Jaichandaran,"Covalent, Double Peak, GenBlock Capital, Ledger Prime, MEXC Global, Synaps",700000,Seed,9
Prolgae,2016,The Nilgiris,Biotechnology,Prolgae Spirulina Supplies Pvt. Ltd. is a Nordic-India joint operating company.,Aakas Sadasivam,Vijayan,200000,Seed,9
Biddano,2016,Pune,"Health, Wellness & Fitness",India's first tech-enabled healthcare logistics platform.,"Talha Shaikh, Ashok Yadav","Gokul Rajaram, JPIN, Venture Catalysts UK, AngelList",2000000,Pre-series A1,9
Geniemode,2021,Gurugram,B2B,"Transforming global sourcing for retailers & suppliers in furniture, hard goods & fashion industry using technology.","Amit Sharma, Tanuj Gangwani",Info Edge Ventures,2000000,,9
Sapio Analytics,2019,Mumbai,Computer Software,Sapio helps government create policies driven by the power of data and AI.,"Hardik Somani, Ashwin Srivastava, Shripal Jain, Viral Vora","Rachit Poddar, Rajesh Gupta",Undisclosed,,9
Neokred,2019,Bangalore,FinTech,Democratizing Open Banking,"Tarun Nazare, Rohith Reji","Virenxia Group, Rajesh Jain, Nitin Agarwal",500000,Seed,9
Delhivery,2011,Gurugram,Logistics & Supply Chain,Delhivery is a leading logistics and supply chain services company in India.,Sahil Barua,Addition,76000000,Series I,9
Flipspaces,2011,Mumbai,Design,"Flipspaces is a global tech-enabled venture towards discovery, design and delivery of commercial and residential spaces",Kunal Sharma,Prashasta Seth,2000000,Pre-series B,9
Fleek,2021,Bangalore,Internet,Fleek helps track & manage subscriptions in one place.,"Aditya Uttaravalli, Arvind Eashwar",Axilor,1000000,Seed,9
GoKwik,2020,New Delhi,Information Technology & Services,GoKwik is a platform for solving shopping experience problems on e-commerce websites on the internet.,"Ankush Talwar, Chirag Taneja, Vivek Bajpai","Matrix Partners India, Jitendra Gupta, RTP Global",5000000,Pre-series A,9
Proeon,2018,Pune,Food Production,"Innovating plant protein ingredients with superior nutrition, sensory and functional profiles from farm to formulation.","Ashish Korde, Kevin Parekh","Shaival Desai, Flowstate Ventures",2000000,Seed,9
InfyU Labs,2019,Gandhinagar,AgriTech,InfyU Labs is a team of dedicated professionals from various fields of engineering with a common goal of making chemical-free fruits and vegetables accessible to everyone.,"Amit Srivastava, Ankit Chauhan",IAN,200000,Seed,9
TechEagle,2015,Gurugram,Aviation & Aerospace,"Safe, secure & reliable On-Demand Drone delivery network for medical, parcel & essential items",Vikram Singh Meena,India Accelerator,500000,Seed,9
Voxelgrids,2017,Bangalore,Deeptech,"Voxelgrids is an Magnetic Resonance Imaging technology startup that is based out of Bengaluru, Karnataka, India.",Arjun Arunachalam,Zoho,5000000,,9
Cogos Technologies,2016,Bangalore,Logistics & Supply Chain,A smart-tech-enabled platform offering a one-stop destination for all the intra-city link-supply chain.,Prasad Sreeram,Transworld Group,2000000,Pre-series A,9
Gigforce,2019,Gurugram,Staffing & Recruiting,A gig/on-demand staffing company.,"Chirag Mittal, Anirudh Syal",Endiya Partners,3000000,Pre-series A,9
Vahdam,2015,New Delhi,Food & Beverages,VAHDAM is among the world’s first vertically integrated online-first tea brands.,Bala Sarda,IIFL AMC,20000000,Series D,9
Leap Finance,2019,Bangalore,Financial Services,International education loans for high potential students.,"Arnav Kumar, Vaibhav Singh",Owl Ventures,55000000,Series C,9
CollegeDekho,2015,Gurugram,EdTech,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals.",Ruchir Arora,"Winter Capital, ETS, Man Capital",26000000,Series B,9
WeRize,2019,Bangalore,Financial Services,India’s first socially distributed full stack financial services platform for small town India,"Vishal Chopra, Himanshu Gupta","3one4 Capital, Kalaari Capital",8000000,Series A,9
Karbon Card,2019,Bangalore,FinTech,Prime objective is to empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits,"Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha",Y Combinator,Undisclosed,,8
Factors.AI,2020,Bangalore,SaaS startup,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers","Aravind Murthy, Praveen Das, Srikrishna Swaminathan","Elevation Partners, Emergent Ventures",2000000,,8
Elevar,2017,Mumbai,Sports,"A Revolutionary Sports Brand, Engineered For Those Who Want More.","Kunal Joshi, Pranav Marwah","Kalaari Capital, Dream Capital",2000000,,8
Studio Sirah,2020,Bangalore,Computer Games,Studio Sirah is founded with a belief in the increasing sophistication of the Indian gamer and the whitespace of midcore India-first games.,"Abhaas Shah, Prateek Shah",Lumikai,800000,,8
OTO Capital,2018,Mumbai,FinTech,The Future Of Vehicle Ownership!,"Harsh Saruparia, Sumit Chhazed",Matrix Partners India,6000000,,8
1Bridge,2016,Bangalore,Consumer Goods,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village","Madan Padaki, Anil Kumar, M Chakrawarty",C4D Partners,2500000,,8
Skeps,2018,Gurugram,FinTech,"A blockchain products company, developing a proprietary product in the FinTech space","Mayank Tewari, Tushar Srivastava",Bertelsmann India,9500000,,8
Curefoods,2020,Bangalore,Food & Beverages,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",13000000,,8
TartanSense,2015,Bangalore,Information Technology,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",5000000,,8
Bewakoof,2012,Mumbai,Apparel & Fashion,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",Prabhkiran Singh,InvestCorp,8000000,,8
Kirana247,2018,New Delhi,Logistics & Supply Chain,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,"Tarun Jiwarajka, Pankhuri Jiwarajka",,1000000,,8
FanPlay,2020,Computer Games,Computer Games,A real money game app specializing in trivia games,YC W21,"Pritesh Kumar, Bharat Gupta",Upsparks,1200000,8
NeoDocs,2020,Mumbai,Healthtech,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.","Nikunj Malpani, Anurag Meena, Pratik Lodha","Y Combinator, 9Unicorns, Titan Capital",Undisclosed,,8
IsGoingOnline,2015,Cochin,Retail,Kochi-based digital catalogue and marketplace IsGoingOnline,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",200000,,8
Camp K12,2010,Gurugram,EdTech,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",Anshul Bhagi,"Matrix Partners India, Elevation Capital",12000000,,8
Elda Health,2020,Bangalore,Healthcare,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.","Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures",1500000,,8
Sporjo,2020,Mumbai,SportsTech,A one stop destination to build a successful career in the Indian sports industry!,G Srinivvasan,Punit Balan,2000000,,8
Advantage Club,2014,Mumbai,HRTech,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:","Sourabh Deorah, Smiti Bhatt Deorah","Y Combinator, Broom Ventures, Kunal Shah",1700000,,8
SuperGaming,2017,Pune,Gaming,"At SuperGaming, building India's best gaming company.","Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000,,8
Ruptok,2020,New Delhi,FinTech,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,Eclear Leasing,1000000,,8
Curefoods,2020,Bangalore,Food & Beverages,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",13000000,,8
TartanSense,2015,Bangalore,Information Technology,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",5000000,Series A,8
