UPI Banks,Volume (Mn) By Costumers,Value (Cr) by Costumers,Volume (Mn),Value (Cr),Month,Year
Bajaj Finserv,0.06,4.3,0.06,4.3,10,2021
Bajaj Finserv,0.04,3.03,0.04,3.03,9,2021
Bajaj Finserv,0.04,2.85,0.04,2.85,8,2021
Bajaj Finserv,0.02,1.55,0.02,1.55,7,2021
Bajaj Finserv,0.01,1.05,0.01,1.05,6,2021
Bajaj Finserv,0.01,0.77,0.01,0.77,5,2021
Bajaj Finserv,0.01,0.96,0.01,0.96,4,2021
Bajaj Finserv,0.01,1.02,0.01,1.02,3,2021
Bajaj Finserv,0.01,1.03,0.01,1.03,2,2021
Bajaj Finserv,0.01,0.99,0.01,0.99,1,2021
Bank of Baroda Apps,0.75,333.91,0.75,333.91,12,2021
Bank of Baroda Apps,0.75,329.76,0.75,329.77,11,2021
Bank of Baroda Apps,0.8,344.85,0.8,344.85,10,2021
Bank of Baroda Apps,0.73,293.05,0.73,293.05,9,2021
Bank of Baroda Apps,0.75,302.05,0.75,302.06,8,2021
Bank of Baroda Apps,0.67,284.98,0.67,284.99,7,2021
Bank of Baroda Apps,0.6,265.38,0.6,265.38,6,2021
Bank of Baroda Apps,0.54,230.89,0.54,230.89,5,2021
Bank of Baroda Apps,0.56,238.5,0.56,238.5,4,2021
Bank of Baroda Apps,0.78,294.28,0.78,294.28,3,2021
Bank of Baroda Apps,0.66,256.49,0.66,256.49,2,2021
Bank of Baroda Apps,0.75,293.25,0.75,293.25,1,2021
Bank of India App,0.04,17.26,0.04,17.26,12,2021
Bank of India App,0.03,13.54,0.03,13.54,11,2021
Bank of India App,0.03,12.88,0.03,12.88,10,2021
Bank of India App,0.03,12.45,0.03,12.45,9,2021
Bank of India App,0.03,10.31,0.03,10.31,8,2021
Bank of India App,0.03,9.8,0.03,9.8,7,2021
Bank of India App,0.02,8.25,0.02,8.25,6,2021
Bank of India App,0.01,5.23,0.01,5.23,5,2021
Bank of India App,0.01,2.11,0.01,2.11,4,2021
Bank of Maharashtra App,0.05,11.52,0.05,11.52,12,2021
Bank of Maharashtra App,0.04,10.84,0.04,10.84,11,2021
Bank of Maharashtra App,0.04,10.5,0.04,10.5,10,2021
Bank of Maharashtra App,0.04,7.8,0.04,7.8,9,2021
Bank of Maharashtra App,0.04,7.76,0.04,7.76,8,2021
Bank of Maharashtra App,0.03,7.27,0.03,7.27,7,2021
Bank of Maharashtra App,0.03,6.82,0.03,6.82,6,2021
Bank of Maharashtra App,0.02,6.18,0.02,6.18,5,2021
Bank of Maharashtra App,0.02,6.05,0.02,6.05,4,2021
Bank of Maharashtra App,0.03,6.73,0.03,6.73,3,2021
Bank of Maharashtra App,0.02,5.73,0.02,5.73,2,2021
Bank of Maharashtra App,0.02,6.37,0.02,6.37,1,2021
BHIM,27.12,8831.67,27.12,8831.67,12,2021
BHIM,25.23,8237.22,25.23,8237.22,11,2021
BHIM,27.27,8513.82,27.27,8513.82,10,2021
BHIM,25.36,7538.58,25.36,7538.58,9,2021
BHIM,26.33,8063.93,26.33,8063.93,8,2021
BHIM,23.76,7442.86,23.76,7442.86,7,2021
BHIM,22.84,7319.77,22.84,7319.77,6,2021
BHIM,21.02,6776.2,21.02,6776.2,5,2021
BHIM,22.26,6886.78,22.26,6886.78,4,2021
BHIM,24.42,7653.21,24.42,7653.21,3,2021
BHIM,20.44,6379.91,20.44,6379.91,2,2021
BHIM,23.38,7462.94,23.38,7462.94,1,2021
Canara Bank App,0.25,90.72,0.25,90.72,12,2021
Canara Bank App,0.21,78.32,0.21,78.32,11,2021
Canara Bank App,0.21,77.06,0.21,77.06,10,2021
Canara Bank App,0.16,51.88,0.16,51.88,9,2021
Canara Bank App,0.14,56.23,0.14,56.23,8,2021
Canara Bank App,0.11,55.83,0.11,55.83,7,2021
Canara Bank App,0.1,52.64,0.1,52.64,6,2021
Canara Bank App,0.09,45.92,0.09,45.92,5,2021
Canara Bank App,0.09,43.87,0.09,43.87,4,2021
Canara Bank App,0.1,47.87,0.1,47.87,3,2021
Canara Bank App,0.08,37.39,0.08,37.39,2,2021
Canara Bank App,0.09,40.52,0.09,40.52,1,2021
Central Bank of India App,0.13,46.47,0.13,46.47,12,2021
Central Bank of India App,0.11,43.57,0.11,43.57,11,2021
Central Bank of India App,0.12,45.48,0.12,45.48,10,2021
Central Bank of India App,0.13,47.35,0.13,47.35,9,2021
Central Bank of India App,0.13,47.83,0.13,47.83,8,2021
Central Bank of India App,0.12,46.71,0.12,46.71,7,2021
Central Bank of India App,0.11,45.3,0.11,45.3,6,2021
Central Bank of India App,0.1,42.18,0.1,42.18,5,2021
Central Bank of India App,0.11,41.58,0.11,41.58,4,2021
Central Bank of India App,0.12,46.03,0.12,46.03,3,2021
Central Bank of India App,0.1,39.78,0.1,39.78,2,2021
Central Bank of India App,0.11,40.45,0.11,40.45,1,2021
Citi Bank App,0.09,76.94,0.09,76.94,12,2021
Citi Bank App,0.09,77.41,0.09,77.41,11,2021
Citi Bank App,0.11,81.21,0.11,81.21,10,2021
Citi Bank App,0.12,68.42,0.12,68.42,9,2021
Citi Bank App,0.09,72.04,0.09,72.04,8,2021
Citi Bank App,0.09,80.39,0.09,80.39,7,2021
Citi Bank App,0.08,75.09,0.08,75.09,6,2021
Citi Bank App,0.08,70.14,0.08,70.14,5,2021
Citi Bank App,0.08,68.17,0.08,68.17,4,2021
Citi Bank App,0.1,71.02,0.1,71.02,3,2021
Citi Bank App,0.1,64.89,0.1,64.89,2,2021
Citi Bank App,0.09,71.3,0.09,71.3,1,2021
City Union Bank App,0.01,4.61,0.01,4.61,12,2021
City Union Bank App,0.01,3.85,0.01,3.85,11,2021
City Union Bank App,0.01,3.95,0.01,3.95,10,2021
City Union Bank App,0.01,3.32,0.01,3.32,9,2021
City Union Bank App,0.01,2.73,0.01,2.73,8,2021
City Union Bank App,0.01,2.09,0.01,2.09,7,2021
Cointab,0.94,144.16,0.94,144.16,12,2021
Cointab,0.64,112.28,0.64,112.28,11,2021
Cointab,0.45,84.71,0.45,84.71,10,2021
Cointab,0.34,69.81,0.34,69.81,9,2021
Cointab,0.28,63.77,0.28,63.77,8,2021
Cointab,0.17,49.15,0.17,49.15,7,2021
Cointab,0.12,40.95,0.12,40.95,6,2021
Cointab,0.1,35.72,0.1,35.72,5,2021
Cointab,0.11,40.84,0.11,40.84,4,2021
Cointab,0.12,45.71,0.12,45.71,3,2021
Cointab,0.12,41.56,0.12,41.56,2,2021
Cointab,0.13,43.7,0.13,43.7,1,2021
Cred,10.36,13817.16,10.36,13817.16,12,2021
Cred,9.03,12277.85,9.03,12277.85,11,2021
Cred,9.73,12561.25,9.73,12561.25,10,2021
Cred,7.74,9614.36,7.74,9614.36,9,2021
Cred,7.5,9040.43,7.5,9040.43,8,2021
Cred,7.12,8121.41,7.12,8121.41,7,2021
Cred,5.77,6151.57,5.77,6151.57,6,2021
Cred,5.65,6142.78,5.65,6142.78,5,2021
Cred,5.08,5419.88,5.08,5419.88,4,2021
Cred,4.96,5389.97,4.96,5389.97,3,2021
Cred,3.94,4229.11,3.94,4229.11,2,2021
Cred,4.08,4247.83,4.08,4247.83,1,2021
DBS Digibank App,0.55,190.75,0.55,190.75,12,2021
DBS Digibank App,0.52,185.2,0.52,185.2,11,2021
DBS Digibank App,0.58,198.18,0.58,198.18,10,2021
DBS Digibank App,0.55,180.79,0.55,180.79,9,2021
DBS Digibank App,0.57,187.52,0.57,187.52,8,2021
DBS Digibank App,0.57,189.67,0.57,189.67,7,2021
DBS Digibank App,0.51,170.57,0.51,170.57,6,2021
DBS Digibank App,0.47,160.73,0.47,160.73,5,2021
DBS Digibank App,0.54,164.93,0.54,164.93,4,2021
DBS Digibank App,0.59,178.13,0.59,178.13,3,2021
DBS Digibank App,0.52,167.48,0.52,167.48,2,2021
DBS Digibank App,0.56,178.75,0.56,178.75,1,2021
Dena Bank App,0.02,26.08,0.02,26.08,12,2021
Dena Bank App,0.02,24.11,0.02,24.11,11,2021
Dena Bank App,0.02,27.43,0.02,27.43,10,2021
Dena Bank App,0.02,24.37,0.02,24.37,9,2021
Dena Bank App,0.02,23.12,0.02,23.12,8,2021
Dena Bank App,0.02,24.26,0.02,24.26,7,2021
Dena Bank App,0.02,21.57,0.02,21.57,6,2021
Dena Bank App,0.02,20.9,0.02,20.9,5,2021
Dena Bank App,0.02,22.37,0.02,22.37,4,2021
Dena Bank App,0.02,23.57,0.02,23.57,3,2021
Dena Bank App,0.01,17.66,0.01,17.66,2,2021
Dena Bank App,0.02,20.5,0.02,20.5,1,2021
Deutsche Bank App,0.85,85.62,0.85,86.2,12,2021
Deutsche Bank App,0.98,115.42,0.98,115.42,11,2021
Deutsche Bank App,0.85,98.84,0.85,99.23,10,2021
Deutsche Bank App,0.76,70.24,0.76,70.24,9,2021
Deutsche Bank App,0.73,81.7,0.73,81.74,8,2021
Deutsche Bank App,0.52,55.42,0.52,55.55,7,2021
Deutsche Bank App,0.32,27.44,0.32,27.44,6,2021
Deutsche Bank App,0.21,14.69,0.21,14.73,5,2021
Deutsche Bank App,0.43,43.32,0.43,43.58,4,2021
Deutsche Bank App,0.71,79.28,0.71,79.58,3,2021
Deutsche Bank App,0.55,59.97,0.55,59.97,2,2021
Deutsche Bank App,0.55,60.39,0.55,60.65,1,2021
Dhanlaxmi Bank App,0.01,3.07,0.01,3.07,12,2021
Dhanlaxmi Bank App,0.01,2.37,0.01,2.37,11,2021
Dhanlaxmi Bank App,0.01,2.86,0.01,2.86,9,2021
Federal Bank App,0.48,99.96,0.48,99.96,12,2021
Federal Bank App,0.47,91.94,0.47,91.94,11,2021
Federal Bank App,0.44,90.5,0.44,90.5,10,2021
Federal Bank App,0.39,79.44,0.39,79.44,9,2021
Federal Bank App,0.35,74.71,0.35,74.71,8,2021
Federal Bank App,0.28,68.82,0.28,68.82,7,2021
Federal Bank App,0.21,49.99,0.21,49.99,6,2021
Federal Bank App,0.17,38.99,0.17,38.99,5,2021
Federal Bank App,0.19,39.57,0.19,39.57,4,2021
Federal Bank App,0.2,38.85,0.2,38.85,3,2021
Federal Bank App,0.16,30.55,0.16,30.55,2,2021
Federal Bank App,0.15,26.09,0.15,26.09,1,2021
Fino Payments bank App,0.03,2.09,0.03,2.09,12,2021
Fino Payments bank App,0.02,1.81,0.02,1.81,11,2021
Fino Payments bank App,0.02,1.75,0.02,1.75,10,2021
Fino Payments bank App,0.02,1.63,0.02,1.63,9,2021
Fino Payments bank App,0.02,1.38,0.02,1.38,8,2021
Fino Payments bank App,0.01,1.13,0.01,1.13,7,2021
Fino Payments bank App,0.01,1.09,0.01,1.09,6,2021
Fino Payments bank App,0.01,1.23,0.01,1.23,5,2021
Fino Payments bank App,0.01,1.18,0.01,1.18,4,2021
Fino Payments bank App,0.01,1.28,0.01,1.28,3,2021
Fino Payments bank App,0.01,1.14,0.01,1.14,2,2021
Fino Payments bank App,0.01,1.08,0.01,1.08,1,2021
Finshell Pay,0.06,2.92,0.06,2.92,12,2021
Finshell Pay,0.05,2.19,0.05,2.19,11,2021
Finshell Pay,0.03,1.26,0.03,1.26,10,2021
Finshell Pay,0.02,0.72,0.02,0.72,9,2021
Freecharge,1.12,63.8,1.12,63.8,1,2021
Goibibo,0.01,2.62,0.01,2.62,9,2021
Google Pay,1587.43,302989.79,1587.43,302989.79,12,2021
Google Pay,1447.84,283357.99,1447.84,283357.99,11,2021
Google Pay,1451.93,287491.46,1451.93,287491.46,10,2021
Google Pay,1294.56,250393.65,1294.56,250393.65,9,2021
Google Pay,1243.75,244453.05,1243.75,244453.05,8,2021
Google Pay,1119.16,230847.54,1119.16,230847.54,7,2021
Google Pay,972.26,207287.73,972.26,207287.73,6,2021
Google Pay,880.59,187136.95,880.59,187136.95,5,2021
Google Pay,905.96,190106.71,905.96,190106.71,4,2021
Google Pay,957.01,201185.14,957.01,201185.14,3,2021
Google Pay,827.86,174455.33,827.86,174455.33,2,2021
Google Pay,853.53,177791.47,853.53,177791.47,1,2021
HDFC Bank Apps,4.96,1250.74,4.96,1250.74,12,2021
HDFC Bank Apps,3.87,1030.59,3.87,1030.59,11,2021
HDFC Bank Apps,5.02,1082.99,5.02,1082.99,10,2021
HDFC Bank Apps,3.14,772.08,3.14,772.08,9,2021
HDFC Bank Apps,3.1,676.72,3.1,676.72,8,2021
HDFC Bank Apps,3,588.25,3,588.25,7,2021
HDFC Bank Apps,2.07,408.61,2.07,408.61,6,2021
HDFC Bank Apps,1.56,274.77,1.56,274.77,5,2021
HDFC Bank Apps,1.42,243.86,1.42,243.86,4,2021
HDFC Bank Apps,1.59,244.17,1.59,244.17,3,2021
HDFC Bank Apps,1.13,208.06,1.13,208.06,2,2021
HDFC Bank Apps,1.52,244.03,1.52,244.03,1,2021
HSBC Bank App,0.09,53.64,0.09,53.73,12,2021
HSBC Bank App,0.08,46.94,0.08,46.98,11,2021
HSBC Bank App,0.08,53.35,0.08,53.39,10,2021
HSBC Bank App,0.08,42.97,0.08,43.02,9,2021
HSBC Bank App,0.07,39.19,0.07,39.24,8,2021
HSBC Bank App,0.06,40.49,0.06,40.52,7,2021
HSBC Bank App,0.07,35.56,0.07,35.57,6,2021
HSBC Bank App,0.06,35.67,0.06,35.68,5,2021
HSBC Bank App,0.07,40.02,0.07,40.03,4,2021
HSBC Bank App,0.08,45.88,0.08,45.89,3,2021
HSBC Bank App,0.05,37.34,0.05,37.36,2,2021
HSBC Bank App,0.06,41.58,0.06,41.59,1,2021
ICICI Bank Apps,28.81,8742.96,31.99,8921.76,12,2021
ICICI Bank Apps,25.74,7049.36,29.14,7246.75,11,2021
ICICI Bank Apps,26.24,6167.22,29.27,6329.63,10,2021
ICICI Bank Apps,18.86,6395.93,22.11,6579.65,9,2021
ICICI Bank Apps,17.55,5476.78,19.81,5621.27,8,2021
ICICI Bank Apps,15.41,5761.98,18.26,5896.05,7,2021
ICICI Bank Apps,12.94,4958.01,15.29,5076.12,6,2021
ICICI Bank Apps,10.95,4411.52,13.16,4514.11,5,2021
ICICI Bank Apps,10.76,3672.3,14.37,3827.95,4,2021
ICICI Bank Apps,9.95,3703.08,13.95,3823.36,3,2021
ICICI Bank Apps,7.63,2393.8,9.93,2477.23,2,2021
ICICI Bank Apps,6.22,1835.97,10.46,1984.07,1,2021
IDBI Bank App,0.02,11.34,0.02,11.34,12,2021
IDBI Bank App,0.03,13.31,0.03,13.31,11,2021
IDBI Bank App,0.03,14.22,0.03,14.22,10,2021
IDBI Bank App,0.02,12,0.02,12,9,2021
IDBI Bank App,0.03,11.26,0.03,11.26,8,2021
IDBI Bank App,0.02,11.24,0.02,11.24,7,2021
IDBI Bank App,0.02,10.86,0.02,10.86,6,2021
IDBI Bank App,0.02,10.36,0.02,10.36,5,2021
IDBI Bank App,0.02,9.59,0.02,9.59,4,2021
IDBI Bank App,0.02,9.68,0.02,9.68,3,2021
IDBI Bank App,0.02,9.15,0.02,9.15,2,2021
IDBI Bank App,0.02,9.18,0.02,9.18,1,2021
IDFC Bank App,0.9,278.53,0.9,278.53,12,2021
IDFC Bank App,0.64,237.83,0.64,237.83,11,2021
IDFC Bank App,0.62,231.02,0.62,231.02,10,2021
IDFC Bank App,0.49,181.96,0.49,181.96,9,2021
IDFC Bank App,0.4,155.19,0.4,155.19,8,2021
IDFC Bank App,0.3,130.1,0.3,130.1,7,2021
IDFC Bank App,0.21,101.74,0.21,101.74,6,2021
IDFC Bank App,0.15,72.34,0.15,72.34,5,2021
IDFC Bank App,0.15,65.23,0.15,65.23,4,2021
IDFC Bank App,0.13,60.84,0.13,60.84,3,2021
IDFC Bank App,0.1,47.09,0.1,47.09,2,2021
IDFC Bank App,0.08,41.87,0.08,41.87,1,2021
India Post Payments Bank App,2.76,321.16,2.76,321.16,12,2021
India Post Payments Bank App,2.3,286.07,2.3,286.07,11,2021
India Post Payments Bank App,2.39,291.7,2.39,291.7,10,2021
India Post Payments Bank App,2.28,267.94,2.28,267.94,9,2021
India Post Payments Bank App,2,255.16,2,255.16,8,2021
India Post Payments Bank App,1.79,231.52,1.79,231.52,7,2021
India Post Payments Bank App,1.47,203.73,1.47,203.73,6,2021
India Post Payments Bank App,1.29,178.52,1.29,178.52,5,2021
India Post Payments Bank App,1.32,174.08,1.32,174.08,4,2021
India Post Payments Bank App,1.21,167.52,1.21,167.52,3,2021
India Post Payments Bank App,1.23,145.46,1.23,145.46,2,2021
India Post Payments Bank App,1.08,123.25,1.08,123.25,1,2021
Indian Bank App,0.12,42.71,0.12,42.71,12,2021
Indian Bank App,0.09,37.77,0.09,37.77,11,2021
Indian Bank App,0.09,38.84,0.09,38.84,10,2021
Indian Bank App,0.08,35.34,0.08,35.34,9,2021
Indian Bank App,0.08,34.46,0.08,34.46,8,2021
Indian Bank App,0.08,33.52,0.08,33.52,7,2021
Indian Bank App,0.05,25.18,0.05,25.18,6,2021
Indian Bank App,0.06,26.84,0.06,26.84,5,2021
Indian Bank App,0.06,24.13,0.06,24.13,4,2021
Indian Bank App,0.09,34.1,0.09,34.1,3,2021
Indian Bank App,0.05,12.38,0.05,12.38,2,2021
Indian Bank App,0.02,5.77,0.02,5.77,1,2021
IndusInd Bank App,1.19,1269.16,1.19,1269.16,12,2021
IndusInd Bank App,1.1,1407.31,1.1,1407.31,11,2021
IndusInd Bank App,1.05,1014.56,1.05,1014.56,10,2021
IndusInd Bank App,0.33,532.43,0.33,532.43,9,2021
IndusInd Bank App,0.52,570.21,0.52,570.21,8,2021
IndusInd Bank App,2.18,458.06,2.18,458.06,7,2021
IndusInd Bank App,2.18,421.41,2.18,421.41,6,2021
IndusInd Bank App,3.12,433.37,3.12,433.37,5,2021
IndusInd Bank App,4.2,654.49,4.2,654.49,4,2021
IndusInd Bank App,4.49,541.66,4.49,541.66,3,2021
IndusInd Bank App,2.16,379.54,2.16,379.54,2,2021
IndusInd Bank App,1.82,367.77,1.82,367.77,1,2021
Jammu and Kashmir Bank App,0.01,1.93,0.01,1.93,12,2021
Janta Sahakari Bank App,0.01,4.48,0.01,4.48,12,2021
Janta Sahakari Bank App,0.01,4.8,0.01,4.8,8,2021
Janta Sahakari Bank App,0.01,5.32,0.01,5.32,3,2021
Janta Sahakari Bank App,0.01,4.35,0.01,4.35,2,2021
Janta Sahakari Bank App,0.01,5.02,0.01,5.02,1,2021
Jio Payments Bank App,1.65,100.19,1.65,100.19,12,2021
Jio Payments Bank App,1.38,89.68,1.38,89.68,11,2021
Jio Payments Bank App,1.33,85.75,1.33,85.75,10,2021
Jio Payments Bank App,1.24,74.89,1.24,74.89,9,2021
Jio Payments Bank App,1.06,68.16,1.06,68.16,8,2021
Jio Payments Bank App,1.03,63.44,1.03,63.44,7,2021
Jio Payments Bank App,0.8,52.08,0.8,52.08,6,2021
Jio Payments Bank App,0.68,40.92,0.68,40.92,5,2021
Jio Payments Bank App,0.57,35.43,0.57,35.43,4,2021
Jio Payments Bank App,0.47,32.14,0.47,32.14,3,2021
Jio Payments Bank App,0.36,25.76,0.36,25.76,2,2021
Jio Payments Bank App,0.41,27.91,0.41,27.91,1,2021
Jupiter Money,0.98,177.92,0.98,177.92,12,2021
Jupiter Money,0.55,102.84,0.55,102.84,11,2021
Jupiter Money,0.29,60,0.29,60,10,2021
Jupiter Money,0.13,29.3,0.13,29.3,9,2021
Jupiter Money,0.07,17.36,0.07,17.36,8,2021
Jupiter Money,0.01,2.07,0.01,2.07,7,2021
Karnataka Bank App,0.25,30.03,0.25,30.03,12,2021
Karnataka Bank App,0.22,27.68,0.22,27.68,11,2021
Karnataka Bank App,0.2,25.71,0.2,25.71,10,2021
Karnataka Bank App,0.16,18.64,0.16,18.64,9,2021
Karnataka Bank App,0.12,15.38,0.12,15.38,8,2021
Karnataka Bank App,0.13,18.45,0.13,18.45,7,2021
Karnataka Bank App,0.12,22.51,0.12,22.51,6,2021
Karnataka Bank App,0.1,20.74,0.1,20.74,5,2021
Karnataka Bank App,0.12,21.13,0.12,21.13,4,2021
Karnataka Bank App,0.12,20.89,0.12,20.89,3,2021
Karnataka Bank App,0.09,16.41,0.09,16.41,2,2021
Karnataka Bank App,0.07,15.35,0.07,15.35,1,2021
Karur Vysya Bank App,0.04,17.44,0.04,17.44,12,2021
Karur Vysya Bank App,0.03,15.46,0.03,15.46,11,2021
Karur Vysya Bank App,0.03,15.4,0.03,15.4,10,2021
Karur Vysya Bank App,0.03,14.14,0.03,14.14,9,2021
Karur Vysya Bank App,0.03,15.25,0.03,15.25,8,2021
Karur Vysya Bank App,0.03,14.6,0.03,14.6,7,2021
Karur Vysya Bank App,0.03,12.59,0.03,12.59,6,2021
Karur Vysya Bank App,0.02,11.59,0.02,11.59,5,2021
Karur Vysya Bank App,0.03,13.08,0.03,13.08,4,2021
Karur Vysya Bank App,0.03,15.14,0.03,15.14,3,2021
Karur Vysya Bank App,0.03,13.87,0.03,13.87,2,2021
Karur Vysya Bank App,0.03,13.14,0.03,13.14,1,2021
Khalijeb,0.02,2.49,0.02,2.49,1,2021
Kotak Mahindra Bank Apps,6.39,1168.93,6.39,1168.93,12,2021
Kotak Mahindra Bank Apps,5.78,1035.67,5.78,1035.67,11,2021
Kotak Mahindra Bank Apps,5.38,944.5,5.38,944.5,10,2021
Kotak Mahindra Bank Apps,4.31,771.05,4.31,771.05,9,2021
Kotak Mahindra Bank Apps,3.98,723.21,3.98,723.21,8,2021
Kotak Mahindra Bank Apps,3.46,642.53,3.46,642.53,7,2021
Kotak Mahindra Bank Apps,2.8,535.98,2.8,535.98,6,2021
Kotak Mahindra Bank Apps,2.37,427.4,2.37,427.4,5,2021
Kotak Mahindra Bank Apps,2.13,381.37,2.13,381.37,4,2021
Kotak Mahindra Bank Apps,2.26,397.99,2.26,397.99,3,2021
Kotak Mahindra Bank Apps,1.95,347.66,1.95,347.66,2,2021
Kotak Mahindra Bank Apps,1.88,343.38,1.88,343.38,1,2021
MakeMy Trip,0.07,22.3,0.07,22.3,12,2021
MakeMy Trip,0.12,45.04,0.12,45.04,11,2021
MakeMy Trip,0.13,48.4,0.13,48.4,10,2021
MakeMy Trip,0.08,25.67,0.08,25.67,9,2021
MakeMy Trip,0.08,25.28,0.08,25.28,8,2021
MakeMy Trip,0.08,29.31,0.08,29.31,7,2021
MakeMy Trip,0.06,22.16,0.06,22.16,6,2021
MakeMy Trip,0.03,11.47,0.03,11.47,5,2021
MakeMy Trip,0.08,26.08,0.08,26.08,4,2021
MakeMy Trip,0.09,31.2,0.09,31.2,3,2021
MakeMy Trip,0.12,44.08,0.12,44.08,2,2021
MakeMy Trip,0.01,3.95,0.01,3.95,1,2021
MI Pay,0.31,43.97,0.31,43.97,12,2021
MI Pay,0.33,47.27,0.33,47.27,11,2021
MI Pay,0.37,54.77,0.37,54.77,10,2021
MI Pay,0.36,51.29,0.36,51.29,9,2021
MI Pay,0.34,50.26,0.34,50.26,8,2021
MI Pay,0.34,53.34,0.34,53.34,7,2021
MI Pay,0.36,56.69,0.36,56.69,6,2021
MI Pay,0.37,55.17,0.37,55.17,5,2021
MI Pay,0.38,58.08,0.38,58.08,4,2021
MI Pay,0.42,64.65,0.42,64.65,3,2021
MI Pay,0.4,59.91,0.4,59.91,2,2021
MI Pay,0.44,62.81,0.44,62.81,1,2021
Mobikwik,4.24,985.86,4.24,985.86,12,2021
Mobikwik,5.18,1478.95,5.18,1478.95,11,2021
Mobikwik,4.08,1070.32,4.08,1070.32,10,2021
Mobikwik,3.2,687.94,3.2,687.94,9,2021
Mobikwik,2.59,418.04,2.59,418.04,8,2021
Mobikwik,2.8,402.42,2.8,402.42,7,2021
Mobikwik,3.21,535.12,3.21,535.12,6,2021
