Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Burkina Faso,BFA,30100,31600,26500,28700,32500,36200,41900,47200,54700,59800,72800,75800,78200,93200,93400,100200,158400,126600,126200,131500,136600,126600,126600,128500,129500,137500,138400,96600,101600,147200,143529,100286,53236,54475,61364,66273,73131,77810,80543,79345,160000,133709.7792,125693.6964,138996,117420,122590,144950,145049,189545.3369,203296.2421,
Bangladesh,BGD,,,,490000,431400,490500,453300,470300,544200,624200,613700,591400,621500,623000,741800,845300,852400,861000,1004900,997400,1044100,1020800,1051500,1083100,1215900,1261400,1252000,1314700,1152500,1215400,1331369,1449980,1536102,1587606,1650276,1634473,1729451,1242865,1224222,1409414,1818901.019,2022388.572,2195061.68,2781708,3051914.733,3997815,3815869,4660739.038,5677396,5959126,
Bulgaria,BGR,988900,985200,1025000,1085000,1130000,1150000,1370000,1400000,1500000,1755000,1787500,1787000,1675000,1790000,1950000,2090000,1965300,2095000,2163600,1997700,1907000,645700,814000,915800,789200,862700,718200,721700,827700,734700,535246,233963,62798,310952,476277,653703,808451,855229,1073496,798165,801840,932868,973062,1013220,1060147,1063498,1092333,1133069,1022645,832828,
Bahrain,BHR,241000,280000,320000,350000,127500,173000,240100,299800,374500,456500,521500,577800,569800,601800,674200,717500,647400,621500,698400,752800,770900,875500,981100,1080000,1150600,1072500,1200300,1164600,1207000,1307000,1382461,1250076,1255713,1850491,2284547,,,,,5215512,6028980,5590998.041,5861786.999,4626648,5171496,5313756,5220218,5190484,5877003,6440562,
"Bahamas, The",BHS,,,,,,232000,245000,252000,268000,314000,345000,740000,724000,699000,705900,860500,958200,995000,1066000,1150000,1090000,1090000,835000,862000,862000,936900,977500,703700,701000,1719400,1860623,1625689,1543274,1601347,900000,1020000,1033407,1089636,1088876,979042,967914,1056129.595,1048391.067,576996,991463.3289,900028,937476,921470,1830394.862,1856546,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49900,60100,69142,64993,65643,72864,,,,,56313,79977,56485.16182,40182.43977,24874.08963,15000,36636,7071,,,,5375,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,804900,804900,804900,843000,230900,225500,212300,210899,221714,204908,234273,274185,281877,307403,344290,351165,333252,652142,737599,943081,1159500,1317732,1489035,2057194,2493100,2760168,3208254,
Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143928,179471.4135,448015.914,513175.6,877765,935604,990499,1285642,1297533.223,1278187.556,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,244000,331100,379000,375700,475000,652500,744700,862300,1015600,1225500,1342000,1220300,1160100,1299000,1359500,1343300,1300700,1232600,1266700,1272600,1237600,1200000,1214400,1117000,1175200,1223700,1783500,2250800,2115500,1872600,1756608,1557128,1508700,1770774,1824313,1892343,1443165,1744663,1718196,1537032,1781340,2125912.527,2206069.761,2027888,3563043.583,4115271,3678739,4053427.35,4122113,4066959,
